Center Word,Context Words Array,Average Similarity Score,Variance
0,landscaper,"['backyard', 'beautiful', 'clients', 'colorful', 'designs']",0.25209852755069734,0.003128664969606767
1,procedures,"['assists', 'author', 'captivating', 'clinic', 'desk']",0.30356274247169496,0.018119287351136874
2,orchestra,"['conductor', 'leads', 'music', 'musician', 'orchestra']",0.5368027716875077,0.06691667488792635
3,architect,"['architect', 'blueprints', 'buildings', 'designs', 'engineer']",0.5524635016918182,0.06516790703003075
4,photographer,"['breathtaking', 'captures', 'events', 'landscapes', 'memorable']",0.3663370758295059,0.01283464312804874
5,astronomer,"['analyzes', 'astronomer', 'astrophysicist', 'bodies', 'celestial']",0.5085811614990234,0.09418074906867809
6,company,"['business', 'company', 'daily', 'develops', 'entrepreneur']",0.5214762687683105,0.09856356383151024
7,camper,"['camper', 'explores', 'hiker', 'lake', 'mountains']",0.3697554349899292,0.11363160440621245
8,humorous,"['anecdotes', 'applause', 'audience', 'comedian', 'entertains']",0.45169055461883545,0.013713139834129607
9,bed,"['bed', 'cat', 'cozy', 'dog', 'sleeps']",0.435781455039978,0.10825058828694638
10,forest,"['cascades', 'flows', 'forest', 'mountainside', 'river']",0.39329965859651567,0.09691921853295443
11,baker,"['baker', 'bakes', 'bread', 'chef', 'delicious']",0.5973441421985626,0.05003105044695516
12,teacher,"['diligently', 'evening', 'exams', 'grades', 'papers']",0.30691333711147306,0.0087083502072948
13,car,"['along', 'car', 'cyclist', 'highway', 'pedals']",0.41988162100315096,0.08607694019588653
14,analyzes,"['analyzes', 'conducts', 'data', 'experiments', 'laboratory']",0.5824226379394531,0.04825734387955386
15,night,"['bedtime', 'child', 'colorful', 'night', 'parent']",0.39927992075681684,0.10926772417557255
16,trains,"['athlete', 'coach', 'game', 'gym', 'hard']",0.19850283861160278,0.0025117224487806846
17,sculptor,"['artist', 'beautiful', 'canvas', 'clay', 'creates']",0.4204889714717865,0.00993086025384308
18,sets,"['night', 'ocean', 'sets', 'sky', 'stars']",0.2653994455933571,0.13621281694575
19,around,"['around', 'earth', 'moon', 'revolves', 'sun']",0.3840613067150116,0.10332520494949264
20,purrs,"['bed', 'cat', 'contentedly', 'cozy', 'curls']",0.15512571334838868,0.02240677532539216
21,river,"['flows', 'meadow', 'meanders', 'river', 'stream']",0.49481372237205506,0.08466940988630811
22,chef,"['assists', 'chef', 'creation', 'culinary', 'dish']",0.4793677657842636,0.10922586662874392
23,teacher,"['afternoon', 'diligently', 'exam', 'grades', 'history']",0.30510060787200927,0.008332845864755658
24,road,"['car', 'cyclist', 'incline', 'mountain', 'pedals']",0.3018573999404907,0.005910975295516021
25,field,"['analyzes', 'conducts', 'data', 'experiments', 'field']",0.42258839011192323,0.08376885214819141
26,giggles,"['bedtime', 'blocks', 'building', 'child', 'giggles']",0.34246671944856644,0.11534444483572966
27,rigorously,"['athlete', 'center', 'championship', 'coach', 'fitness']",0.2426677167415619,0.0021205379557257234
28,paints,"['artist', 'canvas', 'clay', 'intricate', 'meticulously']",0.41469904184341433,0.01578740961528325
29,sun,"['behind', 'city', 'clear', 'night', 'sets']",0.18874246254563332,0.017492814408433522
30,seats,"['enjoy', 'passengers', 'plane', 'scenic', 'seats']",0.4641860663890839,0.09609827312225945
31,waves,"['crash', 'crashing', 'ocean', 'rocky', 'seagulls']",0.31735565662384035,0.020540241301292783
32,mathematician,"['chalkboard', 'complex', 'equations', 'lecture', 'mathematician']",0.5056627750396728,0.06245381799203335
33,variety,"['backyard', 'beautiful', 'clients', 'cultivates', 'designs']",0.2523592934012413,0.016691754691430603
34,upcoming,"['actor', 'actors', 'director', 'guides', 'lines']",0.19531557112932205,0.00514248483308318
35,computer,"['algorithms', 'code', 'codes', 'computer', 'errors']",0.3461138069629669,0.10748109078137584
36,ascends,"['ascends', 'challenging', 'climber', 'determination', 'expedition']",0.4388986200094223,0.08481947745098038
37,patients,"['assists', 'clinic', 'diagnoses', 'doctor', 'medical']",0.5684074252843857,0.04846245262585636
38,books,"['books', 'enjoys', 'librarian', 'library', 'moment']",0.45389717519283296,0.11520447026415559
39,predicts,"['day', 'forecaster', 'meteorologist', 'news', 'predicts']",0.4460048615932465,0.10635301339400001
40,conducts,"['article', 'conducts', 'editor', 'interviews', 'journalist']",0.4929265081882477,0.06947306392940575
41,scales,"['conductor', 'leads', 'live', 'musician', 'orchestra']",0.14776863008737565,0.0035699774822559685
42,evidence,"['analyst', 'case', 'crime', 'detective', 'evidence']",0.4388252079486847,0.08090673118297202
43,constructs,"['architect', 'architectural', 'builder', 'constructs', 'designs']",0.4964803457260132,0.065105702915886
44,aboard,"['aboard', 'astronaut', 'conducts', 'control', 'experiments']",0.393293172121048,0.09891747070408456
45,sustainable,"['agronomist', 'crops', 'cultivates', 'farmer', 'farming']",0.2898741185665131,0.01730110343385455
46,foreign,"['ancient', 'anecdotes', 'explores', 'foreign', 'group']",0.3705358296632767,0.10405891136786101
47,building,"['building', 'electrical', 'electrician', 'electricity', 'issues']",0.3056429445743561,0.12238572911283127
48,designer,"['creates', 'designer', 'details', 'fabric', 'fashion']",0.5475868344306946,0.07146519726760744
49,distant,"['analyzes', 'astronomer', 'astrophysicist', 'bodies', 'celestial']",0.2678489476442337,0.003951427522558824
50,manager,"['business', 'company', 'daily', 'develops', 'entrepreneur']",0.3624362826347351,0.024390897968931867
51,conservation,"['advocates', 'biodiversity', 'conservation', 'ecologist', 'ecosystems']",0.5839815855026245,0.06136127493229736
52,coach,"['coach', 'feedback', 'glides', 'pool', 'provides']",0.3687310218811035,0.10366066374657912
53,geologist,"['canyon', 'excavates', 'excavation', 'formations', 'fossils']",0.4059852838516235,0.004877016097039402
54,experiments,"['conducts', 'experiments', 'instructs', 'laboratory', 'physics']",0.5373474001884461,0.06664055676826713
55,flames,"['building', 'burning', 'captain', 'directs', 'extinguishes']",0.32980982065200803,0.06080298559262311
56,composes,"['anthology', 'composes', 'editor', 'inspired', 'nature']",0.434893037378788,0.09666877896612928
57,new,"['chef', 'critic', 'critiques', 'dishes', 'experiments']",0.19787583351135254,0.0012259186668485
58,races,"['clock', 'coach', 'cyclist', ""cyclist's"", 'endurance']",0.29672795087099074,0.028119886713071012
59,diplomatic,"['affairs', 'agreements', 'ambassador', 'country', 'diplomat']",0.5724451780319214,0.02425030303580314
60,psychologist,"['clients', 'conducts', 'counselor', 'health', 'issues']",0.390487939119339,0.018936113149173296
61,exotic,"['animals', 'captures', 'conservation', 'documents', 'efforts']",0.24106153696775437,0.011561515673963161
62,project,"['build', 'community', 'construction', 'coordinates', 'helps']",0.4095634460449219,0.009706893956534445
63,sandy,"['beachgoers', 'rides', 'sandy', 'shore', 'sunrise']",0.488806377351284,0.08613334703139017
64,bees,"['apiary', 'beekeeper', 'bees', 'behavior', 'entomologist']",0.4252848654985428,0.12125782855387526
65,trapeze,"['acrobat', 'circus', 'daring', 'guides', 'performs']",0.3417138397693634,0.013032103587443944
66,significance,"['analyzes', 'ancient', 'archaeologist', 'artifacts', 'civilization']",0.30166248977184296,0.003097880669353259
67,grandmaster,"['analyzes', 'chess', 'games', 'grandmaster', 'insights']",0.42984907031059266,0.10305017016220427
68,study,"['compelling', 'editor', 'manuscripts', 'novelist', 'publication']",0.3350710391998291,0.008094379942551414
69,runner,"['coach', 'long-distance', 'marathon', 'monitors', 'performance']",0.3131079629063606,0.058092914022943545
70,philologist,"['analyzes', 'evolution', 'languages', 'linguist', 'linguistic']",0.1838499128818512,0.0050200022751563005
71,examines,"['dinosaur', 'discovers', 'examines', 'fossilized', 'fossils']",0.38341231644153595,0.11161753227752377
72,particles,"['accelerator', 'analyzes', 'conducts', 'data', 'experiments']",0.2092970758676529,0.004648669897561142
73,trail,"['biker', 'biking', 'challenging', 'expedition', 'guide']",0.36852267384529114,0.010561372871188367
74,behavior,"['bee', 'beehive', 'beekeeper', 'behavior', 'different']",0.38620499074459075,0.1004550244996674
75,studio,"['choreographer', 'choreography', 'dance', 'dancer', 'guides']",0.24174330830574037,0.013244115188069597
76,application,"['algorithms', 'application', 'bugs', 'codes', 'engineer']",0.36344629526138306,0.10356015943390844
77,life,"['analyzes', 'biologist', 'currents', 'ecosystems', 'life']",0.34689556062221527,0.10777946069086912
78,archivist,"['archives', 'archivist', 'documents', 'events', 'historian']",0.49915977120399474,0.07514940717172522
79,tests,"['applications', 'designs', 'engineer', 'innovative', 'prototypes']",0.18699395060539245,0.001736154781595598
80,novel,"['books', 'captivating', 'immerses', 'librarian', 'library']",0.37198821306228635,0.021100694269111174
81,ceramicist,"['ceramicist', 'clay', 'finished', 'fires', 'glazes']",0.4182883508503437,0.11749447853929913
82,intensively,"['athlete', 'coach', 'competition', 'guidance', 'intensively']",0.3777832567691803,0.09869803843747446
83,experiments,"['chef', 'critic', 'critiques', 'exotic', 'experiments']",0.3524059534072876,0.1077569728019147
84,erecting,"['architect', 'buildings', 'city', 'construction', 'envisions']",0.26854838877916337,0.019208545425802363
85,actor,"['actor', ""actor's"", 'audition', 'director', 'dramatic']",0.6345938384532929,0.05867895540193985
86,qa,"['algorithms', 'bugs', 'codes', 'developer', 'identifies']",0.1457218922674656,0.004675037832577819
87,advocates,"['activities', 'advocates', 'ecologist', 'ecosystems', 'environmentalist']",0.46655200719833373,0.07785406354026833
88,classroom,"['activities', 'classroom', 'engages', 'imparts', 'interactive']",0.43740142583847047,0.08479618233201572
89,interviews,"['accuracy', 'article', 'clarity', 'editor', 'figures']",0.3135884165763855,0.006239088936861278
90,offers,"['ascent', 'challenging', 'climber', 'climbing', 'conquers']",0.1719110168516636,0.00910239644382116
91,assists,"['analysis', 'assistant', 'assists', 'collection', 'conducts']",0.38451116979122163,0.11349960138886979
92,scales,"['band', 'festival', 'guitar', 'live', 'music']",0.10239298194646836,0.0015594056041786342
93,sustainable,"['agriculturalist', 'cultivates', 'farm', 'farmer', 'farming']",0.36637704968452456,0.0028310151518007843
94,critic,"['analyzes', 'beauty', 'critic', 'elements', 'inspired']",0.352329071611166,0.11179500150927899
95,conducts,"['clients', 'conducts', 'counselor', 'emotional', 'provides']",0.4261359184980392,0.10039960937863816
96,innovative,"['analyst', 'business', 'consumer', 'develops', 'entrepreneur']",0.4131866693496704,0.016377914788597892
